time_period,location,rainfall_era5_lag1,rainfall_era5_lag2,rainfall_era5_lag3,rainfall_era5_lag4,rainfall_era5_lag5,rainfall_era5_lag6,mean_temperature_lag1,mean_temperature_lag2,relative_humidity_lag1,relative_humidity_lag2,relative_humidity_lag3,relative_humidity_lag4,loc_BzhJzdAGARk,loc_CSiOPKW1OQP,loc_EritxSJ4SVG,loc_Fczy0xwaJSy,loc_Gu5PQzqP3oc,irs_level,irs_decay,irs_since,irs_cumulative,tgt_lag1,tgt_lag2,tgt_lag3,_resid,in_mask
2019-04,BzhJzdAGARk,133.2982640806737,90.13424860610357,232.46996401123917,315.3858547861543,136.4581829293936,188.72346833674638,16.388805156062276,16.418621667448704,73.77854721947452,73.38125909747652,75.1100344440695,77.33358297118505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.701959582827597,6.890577497305133,6.812430982470904,-0.12754248869320062,True
2019-04,CSiOPKW1OQP,41.05185185062514,52.016410312255545,68.53466516317886,91.34963636473887,45.5294127667061,70.20879658203685,21.170666434572617,21.107592551608267,61.86096763655324,62.73838406845736,68.00394530499413,71.39794261318234,0.0,1.0,0.0,0.0,0.0,0.0,0.29730177875068015,7.0,10.642900000000001,3.124396459759544,3.153212283234322,3.638862210962429,0.15451174001667667,True
2019-04,EritxSJ4SVG,60.54925128177222,62.21339977125189,73.24081896816263,84.95107758336964,54.94816112641282,75.53045867036494,22.460448725072553,22.179419727041545,63.43584504527564,64.97077848594284,68.05527936371207,70.32990011441878,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,8.28219679933796,8.59378458616624,8.648160694475965,0.0440960285660541,True
2019-04,Fczy0xwaJSy,177.70777749142604,235.88663837776653,383.12418905307095,266.690978511655,365.87022139891644,304.90424137466925,13.532366218417431,13.555963110104768,77.37989698207714,79.33017919684659,82.69253525397701,81.80825269967195,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,2.4890621367687022,2.6852429561221447,2.6522360689929583,0.799486351132237,True
2019-04,Gu5PQzqP3oc,106.09110518239736,225.87296674302002,296.4509611047861,235.08591288924433,212.74809682704154,189.89299681010445,18.688067621068154,18.599787853309238,73.11486151852048,74.75295965442905,76.077255761701,75.67569078217302,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,8.028774656809972,8.28579046003073,8.15753835271551,0.08468532401247852,True
2019-05,BzhJzdAGARk,135.93961124525862,133.2982640806737,90.13424860610357,232.46996401123917,315.3858547861543,136.4581829293936,16.684601835304992,16.388805156062276,72.98295611509994,73.77854721947452,73.38125909747652,75.1100344440695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.574417094134397,6.701959582827597,6.890577497305133,-0.06436324541504845,True
2019-05,CSiOPKW1OQP,43.24433920949086,41.05185185062514,52.016410312255545,68.53466516317886,91.34963636473887,45.5294127667061,20.88638327287169,21.170666434572617,66.77621042465375,61.86096763655324,62.73838406845736,68.00394530499413,0.0,1.0,0.0,0.0,0.0,0.0,0.2499999999999999,8.0,10.642900000000001,3.278908199776221,3.124396459759544,3.153212283234322,-0.018210372784594586,True
2019-05,EritxSJ4SVG,43.17925107122343,60.54925128177222,62.21339977125189,73.24081896816263,84.95107758336964,54.94816112641282,22.3650066929381,22.460448725072553,67.08738300202481,63.43584504527564,64.97077848594284,68.05527936371207,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,8.381746495053177,8.28219679933796,8.59378458616624,-0.5695501777816672,True
2019-05,Fczy0xwaJSy,292.6105564249868,177.70777749142604,235.88663837776653,383.12418905307095,266.690978511655,365.87022139891644,13.694439545544355,13.532366218417431,79.27229785602523,77.37989698207714,79.33017919684659,82.69253525397701,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,3.358550353430479,2.4890621367687022,2.6852429561221447,-0.47062947580399417,True
2019-05,Gu5PQzqP3oc,182.73868547206436,106.09110518239736,225.87296674302002,296.4509611047861,235.08591288924433,212.74809682704154,19.09449310963964,18.688067621068154,72.41386743754644,73.11486151852048,74.75295965442905,76.077255761701,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,8.070403183457056,8.028774656809972,8.28579046003073,-0.34955617121494775,True
